date,high,low,climate,windspeed,temp
2016-09-01,33,23,1,1,28.0
2016-09-02,34,22,1,1,28.0
2016-09-03,34,23,1,1,28.5
2016-09-04,31,22,1,1,26.5
2016-09-05,32,23,1,1,27.5
2016-09-06,27,21,2,1,24.0
2016-09-07,27,20,2,1,23.5
2016-09-08,30,21,1,1,25.5
2016-09-09,33,23,1,1,28.0
2016-09-10,30,21,1,1,25.5
2016-09-11,28,20,1,1,24.0
2016-09-12,30,20,1,1,25.0
2016-09-13,31,21,1,1,26.0
2016-09-14,29,22,1,1,25.5
2016-09-15,24,21,3,1,22.5
2016-09-16,24,22,1,2,23.0
2016-09-17,27,21,1,1,24.0
2016-09-18,28,20,1,2,24.0
2016-09-19,26,18,1,1,22.0
2016-09-20,25,17,1,1,21.0
2016-09-21,24,17,1,1,20.5
2016-09-22,27,18,1,1,22.5
2016-09-23,27,19,1,1,23.0
2016-09-24,28,20,1,1,24.0
2016-09-25,28,21,1,1,24.5
2016-09-26,29,22,1,1,25.5
2016-09-27,30,23,2,2,26.5
2016-09-28,24,19,1,2,21.5
2016-09-29,21,17,1,2,19.0
2016-09-30,22,19,1,2,20.5
