high,low,climate,windspeed,year,month,day,temp
8,-4,1,1,1,1,1,2.0
13,0,1,1,1,1,2,6.5
16,3,1,1,1,1,3,9.5
15,4,1,2,1,1,4,9.5
10,2,2,3,1,1,5,6.0
7,-1,1,1,1,1,6,3.0
7,-2,1,1,1,1,7,2.5
12,-1,1,1,1,1,8,5.5
14,1,1,1,1,1,9,7.5
14,1,1,1,1,1,10,7.5
10,1,1,1,1,1,11,5.5
8,3,1,1,1,1,12,5.5
8,4,1,1,1,1,13,6.0
10,4,1,1,1,1,14,7.0
11,3,1,1,1,1,15,7.0
7,-1,1,2,1,1,16,3.0
9,-1,1,1,1,1,17,4.0
11,0,1,1,1,1,18,5.5
10,2,1,1,1,1,19,6.0
11,4,1,2,1,1,20,7.5
7,0,1,1,1,1,21,3.5
11,-2,1,1,1,1,22,4.5
15,2,1,1,1,1,23,8.5
11,7,2,2,1,1,24,9.0
10,6,1,2,1,1,25,8.0
6,2,1,3,1,1,26,4.0
3,0,2,3,1,1,27,1.5
2,-1,3,2,1,1,28,0.5
3,-1,2,1,1,1,29,1.0
4,-2,1,1,1,1,30,1.0
5,-1,1,1,1,1,31,2.0
7,1,1,1,1,2,1,4.0
7,2,1,1,1,2,2,4.5
7,2,1,2,1,2,3,4.5
7,-2,1,2,1,2,4,2.5
9,-2,1,1,1,2,5,3.5
12,-1,1,2,1,2,6,5.5
6,0,1,3,1,2,7,3.0
6,-4,1,1,1,2,8,1.0
15,0,1,2,1,2,9,7.5
15,0,1,2,1,2,10,7.5
15,0,1,2,1,2,11,7.5
15,0,1,2,1,2,12,7.5
19,3,1,1,1,2,13,11.0
15,10,2,1,1,2,14,12.5
15,9,1,2,1,2,15,12.0
14,3,1,1,1,2,16,8.5
12,3,1,3,1,2,17,7.5
11,1,1,1,1,2,18,6.0
10,4,1,2,1,2,19,7.0
11,8,2,2,1,2,20,9.5
11,3,1,2,1,2,21,7.0
10,4,2,1,1,2,22,7.0
12,4,1,1,1,2,23,8.0
10,6,2,2,1,2,24,8.0
10,6,1,2,1,2,25,8.0
6,3,1,1,1,2,26,4.5
4,2,1,3,1,2,27,3.0
9,1,1,2,1,2,28,5.0
13,2,1,2,1,3,1,7.5
12,6,2,3,1,3,2,9.0
6,1,1,3,1,3,3,3.5
5,1,1,1,1,3,4,3.0
8,2,1,1,1,3,5,5.0
12,3,1,1,1,3,6,7.5
10,5,2,2,1,3,7,7.5
9,4,1,3,1,3,8,6.5
7,0,1,3,1,3,9,3.5
11,-1,1,1,1,3,10,5.0
16,2,1,1,1,3,11,9.0
